store_name,location,event_type,event_date,status,short_description,article_link,published_date,source_batch,Date_Appended
Banh Mi Saigon,"10204 Almeda Genoa Rd, Unit A, Houston, TX 77075",Opening,By summer 2026,"""expected to open…by this summer""","Banh Mi Saigon is set to open a new location at 10204 Almeda Genoa Rd, Unit A in Houston, per a recently filed permit, with construction slated to start in a little over two weeks and wrap up towards the end of June. The brand offers Vietnamese sandwiches, noodles, soups, and bubble tea. No confirmed opening date beyond ""this summer"" has been announced.",https://whatnow.com/houston/restaurants/banh-mi-saigon-to-open-another-location/,,batch_4_output,2026-05-15
Masija,"8320 Pineville-Matthews Rd #607, Charlotte, NC 28226",Closing,"March 26, 2026","""will serve its final meal"" / ""final day""","Masija, Charlotte's first Korean-style ""sojubang"" cocktail bar, announced on social media that it will close permanently on March 26, 2026, after just three months of operation since opening in December 2025. The team cited no official reason for the closure but assured fans the concept would return in some form.",https://whatnow.com/charlotte/restaurants/charlottes-first-korean-style-bar-announces-closure/,,batch_4_output,2026-05-15
Golden Corral,"4350 East Highway 10, Baytown, TX 77521",Opening,Late spring 2027,"""construction project…slated to start late summer and wrap up in late spring 2027""","Golden Corral is planning to open a new 9,258 square-foot location in Baytown at 4350 East Highway 10, per a recently filed permit, with a $4,000,000 construction project set to start late summer and wrap up in late spring 2027. This will be the ninth Golden Corral location in the Greater Houston region, operated by franchisee John Gomez of Gomez Family Enterprises. No official opening date has been announced.",https://whatnow.com/houston/restaurants/golden-corral-to-open-in-baytown/,,batch_4_output,2026-05-15
Sugar Llamas (Roseville location),"8300 Sierra College Blvd, Suite I, Roseville, CA (zip code not specified)",Opening,July or August 2026 (targeted),"""targeting a July or August 2026 debut, pending construction and permitting timelines""","Sugar Llamas, a Tulsa, Oklahoma-based dessert concept founded in 2021, is opening its first Sacramento-area location at 8300 Sierra College Blvd, Suite I in Roseville, led by franchisees Travis and Janelle Hawkins. The menu features freshly made mini donuts in 20+ flavors, gourmet coffee, premium ice cream, milkshakes, and shareable creations such as donut ice cream sundaes. A July or August 2026 debut is targeted, pending construction and permitting.",https://whatnow.com/sacramento/restaurants/tulsa-based-sugar-llamas-to-debut-two-dessert-shops-in-roseville-and-rocklin/,,batch_4_output,2026-05-15
Sugar Llamas (Rocklin location),"3051 Stanford Ranch Rd, Suite D1, Rocklin, CA (zip code not specified)",Opening,July or August 2026 (targeted),"""targeting a July or August 2026 debut, pending construction and permitting timelines""","Sugar Llamas is opening a second Sacramento-area location at 3051 Stanford Ranch Rd, Suite D1 in Rocklin, also led by franchisees Travis and Janelle Hawkins. The concept offers mini donuts, ice cream, milkshakes, and specialty desserts. A July or August 2026 debut is targeted, pending construction and permitting.",https://whatnow.com/sacramento/restaurants/tulsa-based-sugar-llamas-to-debut-two-dessert-shops-in-roseville-and-rocklin/,,batch_4_output,2026-05-15
Sugar Llamas (Modesto location),"3041 Oakdale Rd, Suite 625, Modesto, CA (zip code not specified)",Opening,Not specified,"""third California location planned for""","A third California Sugar Llamas location is planned for 3041 Oakdale Rd, Suite 625 in Modesto, led by Tyler Hawkins, brother of the Roseville/Rocklin franchisees. No opening date or timeline has been specified for this location.",https://whatnow.com/sacramento/restaurants/tulsa-based-sugar-llamas-to-debut-two-dessert-shops-in-roseville-and-rocklin/,,batch_4_output,2026-05-15
Everybody Loves Raymond's (Downtown / East Side location),"2118 I-35 Frontage Rd, San Antonio, TX 78208",Closing,"March 23, 2026","""closed its Downtown location on March 23, 2026""","Everybody Loves Raymond's, a family-owned San Antonio burger restaurant, abruptly closed its Downtown location at 2118 I-35 Frontage Rd on March 23, 2026, confirmed via a social media post on March 25. No reason was cited for the closure, and the brand's second location at 18600 Pleasanton Road continues to operate.",https://whatnow.com/san-antonio/restaurants/well-known-burger-joint-shuts-down-east-side-location-abruptly/,,batch_4_output,2026-05-15
Oso Felipe,"2 Erie St, Montclair, NJ 07042",Closing,"March 28, 2026","""will close permanently on Saturday, March 28""","Oso Felipe, a Mexican restaurant at 2 Erie Street in Montclair, announced via social media that it will close permanently on March 28, 2026, after more than a year in operation. The restaurant offered tacos, enchiladas, tamales, pozole, seafood, grilled items, and a full drinks menu, occupying a multi-story space with two bars and outdoor seating. No official reason for the closure was stated.",https://whatnow.com/new-york/restaurants/montclair-mexican-dining-spot-to-shut-down-on-march-28/,,batch_4_output,2026-05-15
Poke House,"7175 W Lake Mead Blvd, Suite 168, Las Vegas, NV 89128",Opening,Not specified,"""coming soon""","Poke House, a California-based Hawaiian-inspired poke chain founded in 2016 with over 70 locations, is set to open at 7175 West Lake Mead Blvd, Suite 168 in Las Vegas per a recently filed City of Las Vegas permit. The Las Vegas opening is led by franchisee and Operations Advisor Gene Zhou as part of the brand's eastward expansion. No official opening date has been announced.",https://whatnow.com/las-vegas/restaurants/poke-house-to-debut-in-las-vegas/,,batch_4_output,2026-05-15
Barrique Brewing and Blending (tasting room),"30 Oldham St, Nashville, TN 37213",Closing,"March 28, 2026","""tasting room…set to close to the public after March 28, 2026""","Barrique Brewing and Blending announced via Facebook that its tasting room at 30 Oldham Street will close on March 28, 2026, with owner Joel Stickrod citing the building's expected removal in 2026 as the reason. The Nashville brewery, founded in 2017, specializes in barrel-aged wild ales and crisp Czech-style lagers. New production was paused after December as part of the wind-down.",https://whatnow.com/nashville/restaurants/local-favorite-craft-brewery-in-nashville-to-end-run-after-almost-a-decade/,,batch_4_output,2026-05-15
Ponte Vedra Wine Bar and Restaurant,"262 Solana Rd, Ponte Vedra Beach, FL 32082",Opening,Approximately five months prior to publication (Not specified exactly),"""recently opened"" (five months ago)","Ponte Vedra Wine Bar and Restaurant, owned by Samantha Munn, opened approximately five months ago at 262 Solana Road in Ponte Vedra Beach, offering an extensive wine list, personally named signature cocktails, and a seasonally rotating food menu using locally sourced produce and proteins. The bar's décor features vintage Palm Beach hues of pinks and greens, with cocktails named after the owner's friends and family.",https://whatnow.com/jacksonville/restaurants/ponte-vedra-wine-bar-invites-you-to-celebrate-wine-and-friendship/,,batch_4_output,2026-05-15
Once or Twice Bar,"31 N Front St E, Yakima, WA 98901",Opening,Not specified,"""Comin' soon y'all"" / ""An official opening date has not yet been announced""","Once or Twice Bar, operated by William Kostas, Garrett Remy, Lauren Bailey, and Nathaniel Seeger, is set to open at 31 N. Front St. in downtown Yakima, with a liquor license recently approved by the Washington State Liquor and Cannabis Board. The bar plans to serve cocktails and cold beer with an elevated Western-style theme. No official opening date has been announced.",https://whatnow.com/seattle/restaurants/once-or-twice-bar-saddles-up-in-downtown-yakima-with-western-vibes/,,batch_4_output,2026-05-15
Fat Miilk Coffee (Naperville location),"Naperville, IL — shopping plaza (exact address not specified)",Opening,2026,"""coming this year""","Fat Miilk Coffee, a Vietnamese coffee brand founded by Lan Ho in 2024 and based in Chicago's Uptown neighborhood, is opening a second location in a Naperville shopping plaza, with ""coming soon"" signage spotted per recent social media posts. The brand offers specialty drinks including phin drip coffees, robusta espressos, teas, and egg coffee, as well as merchandise and roasts. No exact address or opening date has been released.",https://whatnow.com/chicago/restaurants/fat-milk-coffee-heading-to-naperville-for-second-location/,,batch_4_output,2026-05-15
Green Vegetarian Cuisine,"255 E Basse Rd, San Antonio, TX 78209",Closing,"April 17, 2026","""will serve customers through April 17, 2026""","Green Vegetarian Cuisine at Alamo Quarry Market is closing after 19 years of operation, with owner Chef Mike Behrend citing rising costs and a change in consumer behavior as reasons for the closure. The restaurant will continue to serve customers through April 17, 2026, operating during regular hours from 10 a.m. to 9 p.m.",https://whatnow.com/san-antonio/restaurants/beloved-plant-based-restaurant-in-san-antonio-to-close-after-19-years/,,batch_4_output,2026-05-15
The Shop Beer Co. (Phoenix taproom),"3002 E Washington St, Phoenix, AZ 85034",Opening,Not specified,"""planning to open a location in Phoenix"" / ""An opening date has not been announced""","The Shop Beer Co., a Tempe-based microbrewery and taproom, is planning to open a 15,000 square-foot Phoenix location at 3002 E. Washington Street, per a liquor license application filed with the State of Arizona, to include brewing facilities, a kitchen, and seating. No opening date has been announced.",https://whatnow.com/phoenix/restaurants/the-shop-beer-co-is-opening-a-phoenix-taproom/,,batch_4_output,2026-05-15
Oregano's,"1045 N Verrado Way, Buckeye, AZ 85326",Opening,Not specified,"""tenants expected to start moving in in the coming months"" / ""An exact opening date has not been announced""","Oregano's, an Italian restaurant chain founded in Scottsdale in 1993, is opening a new location at Buckeye Commons West at the southwest corner of I-10 and Verrado Way in Buckeye. The shopping center's construction has completed, with tenants expected to start moving in in the coming months. No exact opening date has been announced.",https://whatnow.com/phoenix/restaurants/oreganos-is-coming-to-buckeye/,,batch_4_output,2026-05-15
Apothecary Cocktail Lounge,"3242 N Clark St, Chicago, IL 60657",Opening,May 2026,"""set to open in May 2026""","Apothecary Cocktail Lounge, a pharmacy-themed craft cocktail bar from owner Eric Reid, is set to open at 3242 N. Clark Street in Chicago in May 2026, with a bar program led by Beverage Director Zachary Heller featuring signature cocktails organized into eight medicinal classifications. The concept blends the science of pharmacy with the artistry of craft cocktails, with a seasonal and Midwest hospitality-focused menu.",https://whatnow.com/chicago/restaurants/apothecary-cocktail-lounge-to-open-this-may-reimagining-the-bar-as-a-place-of-care/,,batch_4_output,2026-05-15
Coco Shrimp,"2525 Wycliff Ave, Suite 130, Dallas, TX 75219",Opening,Before end of 2026,"""locals can look forward to enjoying its cuisine before the year is out""","Coco Shrimp, a fast-casual shrimp-focused restaurant chain founded in 2016 with locations across DFW, is opening its 11th location at 2525 Wycliff Avenue, Suite 130 in Dallas's Oak Lawn area, per a filing with the Texas Department of Licensing and Regulation. The renovated 2,200 square-foot space is owned by partners Walter Cervin and Blaise Hadley, and an opening before year's end is anticipated. No exact opening date has been specified.",https://whatnow.com/dallas/restaurants/coco-shrimp-to-heat-up-dallas-dining-scene-this-summer/,,batch_4_output,2026-05-15
Kyuramen,"1 Wheeler Rd, Burlington, MA 01803",Opening,Not specified,"""Construction is currently wrapping up"" / ""an official opening date has not yet been announced""","Kyuramen, a Flushing, New York-based ramen chain with over 50 locations nationwide, is opening a location at 1 Wheeler Road in Burlington in a newly built structure at the corner of Middlesex Turnpike and Wheeler Road, confirmed by franchisee Charles Liu. The approximately 4,600 square-foot, 81-seat location is described as a more upscale ""Kyuramen 3.0"" concept, featuring party rooms, honeycomb booths, additional yakitori options, and an expanded drink menu. Construction is currently wrapping up; no official opening date has been announced.",https://whatnow.com/boston/restaurants/kyuramen-teams-up-with-popular-japanese-eatery-for-upscale-burlington-location/,,batch_4_output,2026-05-15
